Time,Density
0.000
1.000
2.000
3.000
4.000
5.000
6.000
7.000
8.000
9.000
10.000
11.000
12.000
13.000
14.000
15.000
16.000
17.000
18.000
19.000
20.000
21.000,0.7080
22.000,0.7264
23.000,0.7456
24.000,0.7627
25.000,0.7819
26.000,0.8010
27.000,0.8201
28.000,0.8401
29.000,0.8607
30.000,0.8836
31.000,0.9009
32.000,0.9179
33.000,0.9366
34.000,0.9558
35.000,0.9710
36.000,0.9824
37.000,0.9903
38.000,0.9976
39.000,0.9998
40.000,0.9978
41.000,0.9994
42.000,0.9990
43.000,0.9996
44.000,1.0006
45.000,1.0024
46.000,1.0048
47.000,0.9987
48.000,0.9935
49.000,0.9914
50.000,0.9929
51.000,0.9999
52.000,0.9977
53.000,0.9992
54.000,1.0007
55.000,1.0009
56.000,1.0025
57.000,0.9986
58.000,0.9970
59.000,0.9940
60.000,0.9954
61.000,1.0047
62.000,0.9995
63.000,0.9997
64.000,0.9941
65.000,0.9937
66.000,0.9948
67.000,0.9924
68.000,0.9974
69.000,0.9962
70.000,0.9984
71.000,0.9962
72.000,0.9987
73.000,0.9948
74.000,0.9985
75.000,0.9961
76.000,0.9976
77.000,1.0006
78.000,1.0000
79.000,0.9926
80.000,0.9957
81.000,0.9926
82.000,0.9934
83.000,0.9921
84.000,0.9917
85.000,0.9928
86.000,0.9981
87.000,0.9972
88.000,0.9998
89.000,0.9980
90.000,0.9986
91.000,0.9987
92.000,0.9984
93.000,0.9971
94.000,0.9934
95.000,0.9882
96.000,0.9928
97.000,0.9924
98.000,0.9986
99.000,1.0022
100.000,1.0024
101.000,0.9954
102.000,0.9950
103.000,1.0000
104.000,1.0011
105.000,1.0023
106.000,1.0015
107.000,0.9970
108.000,0.9934
109.000,0.9956
110.000,1.0012
111.000,0.9990
112.000,0.9967
113.000,0.9946
114.000,0.9931
115.000,0.9920
116.000,0.9836
117.000,0.9807
118.000,0.9887
119.000,0.9885
120.000,0.9996
121.000,0.9977
122.000,0.9980
123.000,0.9973
124.000,0.9998
125.000,1.0059
126.000,1.0084
127.000,1.0045
128.000,1.0014
129.000,1.0025
130.000,1.0017
131.000,1.0015
132.000,0.9991
133.000,0.9981
134.000,1.0005
135.000,0.9926
136.000,0.9897
137.000,0.9889
138.000,0.9971
139.000,0.9974
140.000,0.9959
141.000,1.0004
142.000,1.0043
143.000,1.0052
144.000,1.0052
145.000,0.9981
146.000,0.9935
147.000,0.9980
148.000,0.9967
149.000,0.9951
150.000,0.9985
151.000,1.0005
152.000,1.0029
153.000,1.0047
154.000,1.0041
155.000,0.9988
156.000,0.9973
157.000,0.9962
158.000,0.9995
159.000,0.9995
160.000,0.9964
161.000,0.9966
162.000,0.9957
163.000,0.9992
164.000,0.9980
165.000,1.0046
166.000,1.0049
167.000,1.0010
168.000,1.0076
169.000,1.0046
170.000,0.9998
171.000,0.9991
172.000,0.9972
173.000,1.0023
174.000,1.0033
175.000,0.9967
176.000,0.9990
177.000,1.0027
178.000,1.0004
179.000,1.0007
180.000,1.0037
181.000,1.0023
182.000,0.9953
183.000,0.9987
184.000,1.0005
185.000,0.9985
186.000,0.9991
187.000,0.9954
188.000,1.0008
189.000,0.9993
190.000,1.0016
191.000,0.9967
192.000,0.9977
193.000,1.0054
194.000,1.0032
195.000,0.9973
196.000,0.9975
197.000,0.9941
198.000,0.9950
199.000,0.9960
200.000,1.0009
201.000,0.9950
202.000,1.0011
203.000,1.0005
204.000,1.0043
205.000,1.0017
206.000,1.0034
207.000,1.0020
208.000,0.9980
209.000,0.9987
210.000,0.9979
211.000,1.0018
212.000,1.0025
213.000,1.0011
214.000,1.0005
215.000,0.9989
216.000,0.9943
217.000,1.0005
218.000,1.0033
219.000,1.0022
